,Unnamed: 0,station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,epoch_time,merge_id
70,1668269,ADU,2008-04-14 01:35,-94.9204,41.6994,35.60,23.00,M,M,M,M,30.26,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1208145600000.0,1208145600000.0_ADU
71,5283305,SFY,2008-12-03 03:25,-90.1079,42.0458,32.18,27.50,82.65,160.00,6.00,M,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,25.75,KSFY 030325Z AUTO 16006KT 10SM CLR 00/M02 A2982 RMK AO2 T00011025,1228287600000.0,1228287600000.0_SFY
72,379841,OOA,2008-01-24 07:25,-92.4919,41.2273,-3.00,-10.00,71.23,310.00,12.00,M,30.33,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-22.54,M,1201172400000.0,1201172400000.0_OOA
73,3081992,BNW,2008-07-17 07:03,-93.8486,42.0486,76.00,68.00,76.27,200.00,7.00,M,30.06,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,76.00,M,1216288800000.0,1216288800000.0_BNW
74,4648910,FFL,2008-10-22 23:54,-91.9834,41.0521,55.00,30.00,38.21,100.00,15.00,M,M,M,10.00,23.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.00,M,1224727200000.0,1224727200000.0_FFL
75,729899,CWI,2008-02-14 23:15,-90.3328,41.8295,30.20,26.60,86.28,340.00,8.00,M,29.95,M,9.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.90,M,1203044400000.0,1203044400000.0_CWI
76,2490937,SDA,2008-06-07 21:02,-95.4112,40.7533,90.00,78.00,67.93,190.00,27.00,M,29.68,M,10.00,31.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,104.54,M,1212883200000.0,1212883200000.0_SDA
77,4988634,AXA,2008-11-15 11:35,-94.2724,43.0796,32.00,28.40,86.39,330.00,15.00,M,30.09,M,10.00,21.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,20.78,M,1226761200000.0,1226761200000.0_AXA
78,4518334,CAV,2008-10-15 08:03,-93.7593,42.743,47.00,47.00,M,M,M,M,30.13,M,5.50,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1224068400000.0,1224068400000.0_CAV
79,4173393,PRG,2008-09-25 06:45,-87.67,39.7,57.20,55.40,93.69,150.00,3.00,M,30.27,M,7.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,57.20,KPRG 250645Z AUTO 15003KT 7SM CLR 14/13 A3027 RMK AO2,1222333200000.0,1222333200000.0_PRG
80,341200,CMI,2008-01-22 02:53,-88.2778,40.0388,32.00,15.08,49.19,170.00,13.00,M,30.18,1023.10,10.00,M,BKN,OVC,M,M,6500.00,8000.00,M,M,M,M,M,M,M,M,M,21.57,KCMI 220253Z 17013KT 10SM BKN065 OVC080 00/M09 A3018 RMK AO2 SLP231 T00001094 58029 $,1200981600000.0,1200981600000.0_CMI
81,1813383,FFL,2008-04-23 10:57,-91.9834,41.0521,50.00,45.00,82.86,60.00,7.00,M,30.16,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.72,M,1208955600000.0,1208955600000.0_FFL
82,807296,DEH,2008-02-19 22:15,-91.7433,43.2755,10.40,1.40,66.35,M,0.00,M,29.94,M,2.50,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,10.40,M,1203472800000.0,1203472800000.0_DEH
83,2965272,CBF,2008-07-09 14:28,-95.7604,41.2611,76.00,68.00,M,M,M,M,30.06,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1215622800000.0,1215622800000.0_CBF
84,2975049,EOK,2008-07-10 05:48,-91.4274,40.4615,73.00,65.00,M,M,M,M,30.04,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1215676800000.0,1215676800000.0_EOK
85,3799951,CNC,2008-09-02 14:53,-93.3608,41.0184,80.00,71.00,74.06,210.00,9.00,M,30.00,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,83.46,M,1220374800000.0,1220374800000.0_CNC
